DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
04/15/2025,01:00,HHOLLW4_WND1, 23.83,N
04/15/2025,01:00,HICK_G1_G2, 25.65,N
04/15/2025,01:00,HI_LONEB_RN1, 26.34,N
04/15/2025,01:00,HI_LONE_ALL, 26.34,N
04/15/2025,01:00,HLSES_UNIT3, 25.08,N
04/15/2025,01:00,HLSES_UNIT4, 25.08,N
04/15/2025,01:00,HLSES_UNIT5, 25.08,N
04/15/2025,01:00,HLY_RN, 25.35,N
04/15/2025,01:00,HMNG_ESS_RN, 20.73,N
04/15/2025,01:00,HOLCOMB_RN1, 28.01,N
04/15/2025,01:00,HOLSTEIN_ALL, 23.83,N
04/15/2025,01:00,HOL_ALL, 25.58,N
04/15/2025,01:00,HOPKNSLR_ALL, 25.6,N
04/15/2025,01:00,HORSCR_RN, 47.45,N
04/15/2025,01:00,HORSECRK_RN, 22.27,N
04/15/2025,01:00,HOUSEMTN_RN, 48.1,N
04/15/2025,01:00,HOVEY_GEN, 48.1,N
04/15/2025,01:00,HRBESS_BESS, 48.11,N
04/15/2025,01:00,HRFDWIND_ALL, 22.2,N
04/15/2025,01:00,HRNT_SLR_RN, 22.28,N
04/15/2025,01:00,HRZN_SLR_UN1, 33.32,N
04/15/2025,01:00,HV_BESS1_RN, 25.35,N
04/15/2025,01:00,HWF_HWFG1, 23.28,N
04/15/2025,01:00,HYDR_ESS_RN, 47.61,N
04/15/2025,01:00,H_HOLLO_WND1, 23.83,N
04/15/2025,01:00,IMP_RN1, 25.43,N
04/15/2025,01:00,INDNENR_1_RN, 46.83,N
04/15/2025,01:00,INDNENR_2_RN, 47.23,N
04/15/2025,01:00,INDNNWP_RN, 47.03,N
04/15/2025,01:00,IND_INADALE1, 23.57,N
04/15/2025,01:00,INGLCOSW_CC1, 19.15,N
04/15/2025,01:00,INGLCOSW_STG, 19.15,N
04/15/2025,01:00,INGLCOS_CTG1, 19.15,N
04/15/2025,01:00,INGLCOS_CTG2, 19.15,N
04/15/2025,01:00,INGLCO_PUN1, 19.15,N
04/15/2025,01:00,INGLCO_PUN2, 19.15,N
04/15/2025,01:00,INGLCO_PUN3, 19.15,N
04/15/2025,01:00,INKS_INKS_G1, 26.77,N
04/15/2025,01:00,INRT_W_ALL, 23.53,N
04/15/2025,01:00,JACKCNTY_CC1, 21.39,N
04/15/2025,01:00,JACKCNTY_CT1, 21.39,N
04/15/2025,01:00,JACKCNTY_CT2, 21.39,N
04/15/2025,01:00,JACKCNTY_STG, 21.39,N
04/15/2025,01:00,JADE_SLR_ALL, 23.31,N
04/15/2025,01:00,JAD_RN, 25.35,N
04/15/2025,01:00,JAG_SLR_RN, 25.15,N
04/15/2025,01:00,JAR_RN, 25.35,N
04/15/2025,01:00,JAY_RN_1, 25.41,N
04/15/2025,01:00,JCKCNTY2_CC1, 23.29,N
04/15/2025,01:00,JCKCNTY2_CT3, 23.29,N
04/15/2025,01:00,JCKCNTY2_CT4, 23.29,N
04/15/2025,01:00,JCKCNTY2_ST2, 23.29,N
04/15/2025,01:00,JC_BAT_RN, 24.81,N
04/15/2025,01:00,JDKNS_RN, 49.32,N
04/15/2025,01:00,JKLP_SLR_RN, 19.09,N
04/15/2025,01:00,JUNCTION_RN, 24.55,N
