SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
12/01/2010 01:10:23,N,PAP1_PAP1,21.7
12/01/2010 01:10:23,N,PB2SES_CT1,21.97
12/01/2010 01:10:23,N,PB2SES_CT2,21.97
12/01/2010 01:10:23,N,PB2SES_CT3,21.97
12/01/2010 01:10:23,N,PB2SES_CT4,21.97
12/01/2010 01:10:23,N,PB2SES_CT5,21.97
12/01/2010 01:10:23,N,PBSES_UNIT5,21.97
12/01/2010 01:10:23,N,PBSES_UNIT6,28.21
12/01/2010 01:10:23,N,PC_NORTH_1,23.16
12/01/2010 01:10:23,N,PC_SOUTH_2,23.16
12/01/2010 01:10:23,N,PC_SOUTH_3,23.16
12/01/2010 01:10:23,N,PEARSA_13_18,21.8
12/01/2010 01:10:23,N,PEARSA_19_24,21.8
12/01/2010 01:10:23,N,PEARSA_1_6,21.8
12/01/2010 01:10:23,N,PEARSA_7_12,21.8
12/01/2010 01:10:23,N,PEAR_PEARS_1,21.78
12/01/2010 01:10:23,N,PEAR_PEARS_2,21.78
12/01/2010 01:10:23,N,PEAR_PEARS_3,21.78
12/01/2010 01:10:23,N,PENA_UNIT1_2,21.7
12/01/2010 01:10:23,N,PENA_UNIT3,21.7
12/01/2010 01:10:23,N,PR_PR_G2,21.67
12/01/2010 01:10:23,N,PSA_CC1,21.67
12/01/2010 01:10:23,N,PSA_PSA_G1,21.67
12/01/2010 01:10:23,N,PSA_PSA_G2,21.67
12/01/2010 01:10:23,N,PSA_PSA_G3,21.67
12/01/2010 01:10:23,N,PSA_PSA_G4,21.67
12/01/2010 01:10:23,N,PSA_PSA_G5,21.67
12/01/2010 01:10:23,N,PSA_PSA_G6,21.67
12/01/2010 01:10:23,N,PSA_PSA_G7,21.67
12/01/2010 01:10:23,N,PSA_PUN1,21.67
12/01/2010 01:10:23,N,PSA_PUN2,21.67
12/01/2010 01:10:23,N,PSA_PUN3,21.67
12/01/2010 01:10:23,N,PSA_PUN4,21.67
12/01/2010 01:10:23,N,PSA_PUN5,21.67
12/01/2010 01:10:23,N,PSG_CC1,21.97
12/01/2010 01:10:23,N,PSG_PSG_GT2,21.67
12/01/2010 01:10:23,N,PSG_PSG_GT3,21.67
12/01/2010 01:10:23,N,PSG_PSG_ST1,21.67
12/01/2010 01:10:23,N,PYR_PYRON1,22.08
12/01/2010 01:10:23,N,QALSW_CC1,26.85
12/01/2010 01:10:23,N,QALSW_CC2,26.85
12/01/2010 01:10:23,N,QALSW_CCU1,26.85
12/01/2010 01:10:23,N,QALSW_CCU2,26.85
12/01/2010 01:10:23,N,RAYBURN_CC1,21.69
12/01/2010 01:10:23,N,RAYBURN_G1_2,21.7
12/01/2010 01:10:23,N,RAYBURN_G3,21.7
12/01/2010 01:10:23,N,RAYB_G78910,21.69
12/01/2010 01:10:23,N,RDCAN_RDCNY1,15.26
12/01/2010 01:10:23,N,RIONOG_CC1,21.69
12/01/2010 01:10:23,N,RIONOG_CT1,21.69
12/01/2010 01:10:23,N,RIONOG_CT2,21.69
12/01/2010 01:10:23,N,RIONOG_CT3,21.69
12/01/2010 01:10:23,N,RIONOG_ST1,21.69
12/01/2010 01:10:23,N,SANDHSYD1_2,21.68
12/01/2010 01:10:23,N,SANDHSYD3_4,21.68
12/01/2010 01:10:23,N,SANDHSYD6_7,21.68
